R,G,B,X,Y
0.603921569,0.768627451,0.831372549,0.020833333,0.6015625
0.603921569,0.768627451,0.831372549,0.020833333,0.609375
0.611764706,0.764705882,0.831372549,0.020833333,0.6171875
0.611764706,0.764705882,0.831372549,0.020833333,0.625
0.603921569,0.764705882,0.835294118,0.020833333,0.6328125
0.603921569,0.764705882,0.843137255,0.020833333,0.640625
0.603921569,0.764705882,0.843137255,0.020833333,0.6484375
0.603921569,0.764705882,0.843137255,0.020833333,0.65625
0.603921569,0.764705882,0.835294118,0.020833333,0.6640625
0.603921569,0.764705882,0.835294118,0.020833333,0.671875
0.611764706,0.760784314,0.835294118,0.020833333,0.6796875
0.611764706,0.760784314,0.835294118,0.020833333,0.6875
0.619607843,0.764705882,0.835294118,0.020833333,0.6953125
0.619607843,0.764705882,0.835294118,0.020833333,0.703125
0.623529412,0.768627451,0.839215686,0.020833333,0.7109375
0.623529412,0.768627451,0.839215686,0.020833333,0.71875
0.631372549,0.77254902,0.835294118,0.020833333,0.7265625
0.631372549,0.77254902,0.835294118,0.020833333,0.734375
0.631372549,0.77254902,0.835294118,0.020833333,0.7421875
0.631372549,0.77254902,0.82745098,0.020833333,0.75
0.631372549,0.780392157,0.823529412,0.020833333,0.7578125
0.631372549,0.780392157,0.823529412,0.020833333,0.765625
0.635294118,0.784313725,0.82745098,0.020833333,0.7734375
0.635294118,0.784313725,0.82745098,0.020833333,0.78125
0.643137255,0.788235294,0.823529412,0.020833333,0.7890625
0.643137255,0.788235294,0.823529412,0.020833333,0.796875
0.643137255,0.788235294,0.823529412,0.020833333,0.8046875
0.643137255,0.788235294,0.823529412,0.020833333,0.8125
0.658823529,0.792156863,0.82745098,0.020833333,0.8203125
0.658823529,0.792156863,0.82745098,0.020833333,0.828125
0.662745098,0.796078431,0.831372549,0.020833333,0.8359375
0.662745098,0.796078431,0.831372549,0.020833333,0.84375
0.666666667,0.796078431,0.823529412,0.020833333,0.8515625
0.670588235,0.8,0.82745098,0.020833333,0.859375
